SA22018_V1_NAME,LATITUDE,LONGITUDE
Shelly Park,-36.90830816,174.9464512
Otara Central,-36.95593456,174.8767799
Huntington Park,-36.93387117,174.9069906
Botany Central,-36.93116908,174.9122367
Botany North,-36.92502363,174.9261203
Papatoetoe West,-36.98008106,174.8465055
Papatoetoe Central,-36.97461746,174.8580066
Sunkist Bay,-36.88262674,174.9978316
Otara East,-36.95494224,174.8862506
Redcastle,-36.94313907,174.9052712
Botany East,-36.93221968,174.9225992
Botany South,-36.9385812,174.9141462
Manukau Central,-36.99138991,174.8694753
Papatoetoe East,-36.97237736,174.8735364
Otara South,-36.96833434,174.8764096
Ferguson,-36.966167,174.8825216
Papatoetoe South West,-36.98945511,174.8468107
Botany Junction,-36.95962843,174.896418
Dannemora North,-36.94584124,174.9122148
Papatoetoe South,-36.97749183,174.8672654
East Tamaki Heights,-36.9417869,174.9224719
Te Puru,-36.89631822,175.0031611
Puhinui North,-36.98354464,174.8623562
Dannemora South,-36.95210786,174.9097049
Puhinui South,-36.98905465,174.8589293
Rongomai West,-36.97393225,174.8893256
Baverstock,-36.95525862,174.9167017
Puhinui East,-36.98223841,174.8717845
Turanga,-36.96408816,174.9885467
Rongomai East,-36.97278636,174.8943156
Ormiston North,-36.96413048,174.9130984
Maraetai,-36.88774867,175.0379711
Chapel Downs,-36.97187248,174.90214
Wiri West,-37.00828264,174.8624367
Clover Park North,-36.97956376,174.8931167
Mission Heights North,-36.95819159,174.9309111
Clover Park South,-36.98563252,174.8901217
Donegal Park,-36.97749254,174.9078563
Ormiston South,-36.97596797,174.9175859
Mission Heights South,-36.96503986,174.9321751
Hilltop (Auckland),-36.98571899,174.9077134
Wiri East,-36.99903763,174.8870903
Goodwood Heights,-36.99421746,174.8973283
Ormiston East,-36.98204749,174.9310793
Clendon Park North,-37.02445325,174.8600384
Burbank,-37.02139033,174.8679883
Tuscany Heights,-36.97921496,174.9550997
Totara Heights,-37.0016393,174.900245
Homai East,-37.0133257,174.8854612
Homai West,-37.01888813,174.877996
The Gardens (Auckland),-37.00156996,174.9130385
Clarks Beach,-37.13836247,174.707576
Clendon Park West,-37.03235369,174.8592663
Hillpark North,-37.01063595,174.8978987
Clendon Park East,-37.03230003,174.8651409
Karaka Creek,-37.13436391,174.7643774
Rowandale West,-37.02855927,174.8721658
Rowandale East,-37.02529361,174.8808791
Manurewa Central,-37.02111515,174.8914723
Weymouth North,-37.03938307,174.8653068
Hillpark South,-37.01717082,174.9004247
Alfriston,-37.01247699,174.920802
Weymouth East,-37.03734988,174.8776069
Leabank,-37.03219654,174.8873435
Weymouth South,-37.04682412,174.8629955
Manurewa East,-37.02583832,174.9061093
Manurewa South,-37.03138834,174.9004088
Randwick Park East,-37.01986261,174.9178302
Wattle Downs West,-37.05128128,174.8752268
Wattle Downs North,-37.03867016,174.8948734
Randwick Park West,-37.02624737,174.9135793
Kingseat-Karaka,-37.12442419,174.8214859
Wattle Downs East,-37.04722333,174.8929496
Takanini North,-37.02622521,174.9322924
Takanini Industrial,-37.03359785,174.9153558
Conifer Grove West,-37.0486937,174.9129301
Conifer Grove East,-37.04393764,174.9153718
Takanini West,-37.04068506,174.9211294
